order_id,student_id,grade,menu,category,price,quantity,satisfaction,wait_minutes
O001,S001,1,김밥,meal,2500,2,5,3
O002,S002,1,떡볶이,meal,3000,1,4,7
O003,S003,2,아이스티,drink,1500,2,5,2
O004,S004,3,초코우유,drink,1200,1,3,4
O005,S005,2,샌드위치,meal,3500,1,4,5
O006,S006,1,과자,snack,1000,3,4,1
O007,S007,3,김밥,meal,2500,1,5,3
O008,S008,2,컵라면,meal,2000,2,3,8
O009,S009,1,아이스티,drink,1500,1,5,2
O010,S010,3,젤리,snack,800,4,4,1
O011,S011,2,떡볶이,meal,3000,2,5,6
O012,S012,1,초코우유,drink,1200,2,4,3
O013,S013,3,샌드위치,meal,3500,2,5,5
O014,S014,2,과자,snack,1000,5,3,1
O015,S015,1,컵라면,meal,2000,1,4,7
O016,S016,3,아이스티,drink,1500,3,5,2
O017,S017,2,김밥,meal,2500,2,4,4
O018,S018,1,젤리,snack,800,2,5,1
O019,S019,3,떡볶이,meal,3000,1,3,9
O020,S020,2,초코우유,drink,1200,3,4,3
O021,S021,1,샌드위치,meal,3500,1,5,4
O022,S022,3,과자,snack,1000,2,3,2
O023,S023,2,컵라면,meal,2000,3,4,8
O024,S024,1,아이스티,drink,1500,2,5,2
O025,S025,3,김밥,meal,2500,3,4,5
O026,S026,2,젤리,snack,800,5,5,1
O027,S027,1,떡볶이,meal,3000,2,4,6
O028,S028,3,초코우유,drink,1200,2,4,3
O029,S029,2,샌드위치,meal,3500,1,3,5
O030,S030,1,과자,snack,1000,4,5,1
