Name,StudyHours,SleepHours,Attendance,Python,Math,AI,DB
A,2.5,7.0,85,65,70,68,72
B,3.0,6.5,90,72,75,70,78
C,4.5,6.0,95,85,80,82,88
D,1.5,8.0,70,55,60,58,62
E,3.5,6.5,88,78,74,76,80
F,5.0,5.5,98,90,88,92,91
G,2.0,7.5,80,60,65,63,67
H,4.0,6.0,92,82,79,85,84
I,3.2,6.8,87,75,73,74,77
J,2.8,7.2,83,68,70,69,71
K,4.8,5.8,96,88,85,90,89
L,1.8,7.8,75,58,62,60,65
M,3.7,6.3,89,80,78,79,82
N,2.3,7.1,82,66,68,67,70
O,5.2,5.2,99,92,90,94,93
P,3.1,6.6,86,74,72,73,76
Q,2.7,7.3,84,69,71,70,72
R,4.2,6.1,93,84,81,86,85
S,1.9,7.9,78,59,63,61,66
T,3.9,6.4,91,81,77,80,83
U,2.6,7.0,83,67,69,68,71
V,4.6,5.9,97,87,84,89,88
W,3.3,6.7,88,76,74,75,79
X,2.1,7.4,81,64,67,66,69
Y,5.1,5.4,98,91,89,93,92
Z,3.8,6.2,90,79,76,78,81
AA,2.4,7.2,85,68,70,69,72
BB,4.3,6.0,94,83,80,85,84
CC,1.7,8.1,72,57,61,59,63
DD,3.6,6.5,89,77,75,76,80
